document_id,offsets,text,deabbreviated_text,db_ids,mention_id,joined_offsets,sapbert_candidates,sapbert_hit_index
9288106,"[[40, 61]]",ataxia-telangiectasia,ataxia-telangiectasia,['MESH:D001260'],9288106.1,"40,61","[[""MESH:D001260""], [""OMIM:208900""], [""MESH:C565779""], [""OMIM:604391""], [""OMIM:615919""], [""MESH:C538013""], [""OMIM:208920""], [""MESH:D049932""], [""OMIM:251260""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[72, 97]]",sporadic T-cell leukaemia,sporadic T-cell leukaemia,['MESH:D015458'],9288106.2,"72,97","[[""MESH:D015458""], [""MESH:D054218""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[99, 120]]",Ataxia-telangiectasia,Ataxia-telangiectasia,['MESH:D001260'],9288106.3,"99,120","[[""MESH:D001260""], [""OMIM:208900""], [""MESH:C565779""], [""OMIM:604391""], [""OMIM:615919""], [""MESH:C538013""], [""OMIM:208920""], [""MESH:D049932""], [""OMIM:251260""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[122, 125]]",A-T,Ataxia-telangiectasia,['MESH:D001260'],9288106.4,"122,125","[[""MESH:D001260""], [""OMIM:208900""], [""MESH:C565779""], [""OMIM:604391""], [""OMIM:615919""], [""MESH:C538013""], [""OMIM:208920""], [""MESH:D049932""], [""OMIM:251260""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[235, 241]]",cancer,cancer,['MESH:D009369'],9288106.6,"235,241","[[""MESH:D009369""], [""MESH:D009371""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[254, 273]]",lymphoid neoplasias,lymphoid neoplasias,['MESH:D008223'],9288106.7,"254,273","[[""MESH:D019310""], [""MESH:D008223""], [""MESH:D000072717""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",1
9288106,"[[304, 307]]",A-T,Ataxia-telangiectasia,['MESH:D001260'],9288106.8,"304,307","[[""MESH:D001260""], [""OMIM:208900""], [""MESH:C565779""], [""OMIM:604391""], [""OMIM:615919""], [""MESH:C538013""], [""OMIM:208920""], [""MESH:D049932""], [""OMIM:251260""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[389, 395]]",tumour,tumour,['MESH:D009369'],9288106.9,"389,395","[[""MESH:D009369""], [""MESH:D009371""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[419, 459]]",sporadic T-cell prolymphocytic leukaemia,sporadic T-cell prolymphocytic leukaemia,['MESH:D015461'],9288106.10,"419,459","[[""MESH:D015461""], [""MESH:D016411""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[461, 466]]",T-PLL,T-cell prolymphocytic leukaemia,['MESH:D015461'],9288106.11,"461,466","[[""MESH:D015461""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[517, 540]]",mature T-cell leukaemia,mature T-cell leukaemia,['MESH:D015458'],9288106.13,"517,540","[[""MESH:D054218""], [""MESH:D015458""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",1
9288106,"[[549, 552]]",A-T,Ataxia-telangiectasia,['MESH:D001260'],9288106.14,"549,552","[[""MESH:D001260""], [""OMIM:208900""], [""MESH:C565779""], [""OMIM:604391""], [""OMIM:615919""], [""MESH:C538013""], [""OMIM:208920""], [""MESH:D049932""], [""OMIM:251260""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[606, 611]]",T-PLL,T-cell prolymphocytic leukaemia,['MESH:D015461'],9288106.15,"606,611","[[""MESH:D015461""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[663, 666]]",A-T,Ataxia-telangiectasia,['MESH:D001260'],9288106.16,"663,666","[[""MESH:D001260""], [""OMIM:208900""], [""MESH:C565779""], [""OMIM:604391""], [""OMIM:615919""], [""MESH:C538013""], [""OMIM:208920""], [""MESH:D049932""], [""OMIM:251260""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[713, 722]]",leukaemia,leukaemia,['MESH:D007938'],9288106.17,"713,722","[[""MESH:D007938""], [""MESH:D007951""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1030, 1035]]",T-PLL,T-cell prolymphocytic leukaemia,['MESH:D015461'],9288106.18,"1030,1035","[[""MESH:D015461""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1070, 1073]]",A-T,Ataxia-telangiectasia,['MESH:D001260'],9288106.19,"1070,1073","[[""MESH:D001260""], [""OMIM:208900""], [""MESH:C565779""], [""OMIM:604391""], [""OMIM:615919""], [""MESH:C538013""], [""OMIM:208920""], [""MESH:D049932""], [""OMIM:251260""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1160, 1166]]",tumour,tumour,['MESH:D009369'],9288106.20,"1160,1166","[[""MESH:D009369""], [""MESH:D009371""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1212, 1221]]",leukaemia,leukaemia,['MESH:D007938'],9288106.21,"1212,1221","[[""MESH:D007938""], [""MESH:D007951""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1279, 1285]]",tumour,tumour,['MESH:D009369'],9288106.22,"1279,1285","[[""MESH:D009369""], [""MESH:D009371""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1309, 1338]]",B-cell non-Hodgkins lymphomas,B-cell non-Hodgkins lymphomas,['MESH:D016393'],9288106.23,"1309,1338","[[""MESH:D016393""], [""MESH:D008228""], [""OMIM:605027""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1340, 1345]]",B-NHL,B-cell non-Hodgkins lymphomas,['MESH:D016393'],9288106.24,"1340,1345","[[""MESH:D016393""], [""MESH:D008228""], [""OMIM:605027""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1353, 1358]]",B-NHL,B-cell non-Hodgkins lymphomas,['MESH:D016393'],9288106.25,"1353,1358","[[""MESH:D016393""], [""MESH:D008228""], [""OMIM:605027""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1517, 1524]]",tumours,tumours,['MESH:D009369'],9288106.26,"1517,1524","[[""MESH:D009369""], [""MESH:D009371""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1594, 1608]]",sporadic T-PLL,sporadic T-PLL,['MESH:D015461'],9288106.27,"1594,1608","[[""MESH:D015461""], [""MESH:D016411""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
9288106,"[[1641, 1647]]",tumour,tumour,['MESH:D009369'],9288106.28,"1641,1647","[[""MESH:D009369""], [""MESH:D009371""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""], [""NONE""]]",0
