document_id,offsets,text,type,db_ids,split,deabbreviated_text,mention_id,limited_contextualized_mention
10021369,"[[43, 76]]",adenomatous polyposis coli tumour,['Modifier'],['MESH:D011125'],train,adenomatous polyposis coli tumour,10021369.1,"Identification of APC2, a homologue of the [ENTITY_START] adenomatous polyposis coli tumour [ENTITY_END] suppressor. The adenomatous polyposis coli (APC) tumour-suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta (GSK-3beta), axin/conductin and betacatenin. Complex formation induces the"
10021369,"[[93, 132]]",adenomatous polyposis coli (APC) tumour,['Modifier'],['MESH:D011125'],train,adenomatous polyposis coli (APC) tumour,10021369.2,"Identification of APC2, a homologue of the adenomatous polyposis coli tumour suppressor. The [ENTITY_START] adenomatous polyposis coli (APC) tumour-suppressor [ENTITY_END] protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta (GSK-3beta), axin/conductin and betacatenin. Complex formation induces the rapid degradation of betacatenin. In colon"
10021369,"[[357, 372]]",colon carcinoma,['Modifier'],['MESH:D003110'],train,colon carcinoma,10021369.3,"coli (APC) tumour-suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta (GSK-3beta), axin/conductin and betacatenin. Complex formation induces the rapid degradation of betacatenin. In [ENTITY_START] colon carcinoma [ENTITY_END] cells, loss of APC leads to the accumulation of betacatenin in the nucleus, where it binds to and activates the Tcf-4 transcription factor (reviewed in [1] [2]). Here, we report the"
10021369,"[[955, 970]]",colon carcinoma,['Modifier'],['MESH:D003110'],train,colon carcinoma,10021369.4,"SAMP domains, both of which are required for binding to conductin. Like APC, APC2 regulates the formation of active betacatenin-Tcf complexes, as demonstrated using transient transcriptional activation assays in APC -/- [ENTITY_START] colon carcinoma [ENTITY_END] cells. Human APC2 maps to chromosome 19p13. 3. APC and APC2 may therefore have comparable functions in development and cancer."
10021369,"[[1090, 1096]]",cancer,['SpecificDisease'],['MESH:D009369'],train,cancer,10021369.5,as demonstrated using transient transcriptional activation assays in APC -/- colon carcinoma cells. Human APC2 maps to chromosome 19p13. 3. APC and APC2 may therefore have comparable functions in development and [ENTITY_START] cancer. [ENTITY_END]
10051005,"[[53, 58]]",HNPCC,['Modifier'],['MESH:D003123'],train,hereditary non-polyposis cancer syndrome,10051005.1,"A common MSH2 mutation in English and North American [ENTITY_START] HNPCC [ENTITY_END] families: origin, phenotypic expression, and sex specific differences in colorectal cancer. The frequency, origin, and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non-polyposis"
10051005,"[[132, 149]]",colorectal cancer,['SpecificDisease'],['MESH:D015179'],train,colorectal cancer,10051005.2,"A common MSH2 mutation in English and North American HNPCC families: origin, phenotypic expression, and sex specific differences in [ENTITY_START] colorectal cancer. [ENTITY_END] The frequency, origin, and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non-polyposis cancer syndrome (HNPCC) was investigated. The mutation (A-- > T at"
10051005,"[[278, 318]]",hereditary non-polyposis cancer syndrome,['SpecificDisease'],['MESH:D003123'],train,hereditary non-polyposis cancer syndrome,10051005.3,"HNPCC families: origin, phenotypic expression, and sex specific differences in colorectal cancer. The frequency, origin, and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with [ENTITY_START] hereditary non-polyposis cancer syndrome [ENTITY_END] (HNPCC) was investigated. The mutation (A-- > T at nt943 + 3) disrupts the 3 splice site of exon 5 leading to the deletion of this exon from MSH2 mRNA"
10051005,"[[320, 325]]",HNPCC,['SpecificDisease'],['MESH:D003123'],train,hereditary non-polyposis cancer syndrome,10051005.4,"phenotypic expression, and sex specific differences in colorectal cancer. The frequency, origin, and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non-polyposis cancer syndrome [ENTITY_START] (HNPCC) [ENTITY_END] was investigated. The mutation (A-- > T at nt943 + 3) disrupts the 3 splice site of exon 5 leading to the deletion of this exon from MSH2 mRNA and represents"
10051005,"[[594, 611]]",colorectal cancer,['Modifier'],['MESH:D015179'],train,colorectal cancer,10051005.5,"5 leading to the deletion of this exon from MSH2 mRNA and represents the only frequent MSH2 mutation so far reported. Although this mutation was initially detected in four of 33 [ENTITY_START] colorectal cancer [ENTITY_END] families analysed from eastern England, more extensive analysis has reduced the frequency to four of 52 (8%) English HNPCC kindreds analysed. In contrast, the MSH2 mutation was identified in 10 of"
