document_id,offsets,text,deabbreviated_text,db_ids,mention_id,joined_offsets,arboel_candidates,arboel_hit_index
9288106,"[[40, 61]]",ataxia-telangiectasia,ataxia-telangiectasia,['MESH:D001260'],9288106.1,"40,61","[[""MESH:D001260"", ""OMIM:208900""], [""MESH:D057891""], [""MESH:C566865""], [""MESH:D030342""], [""MESH:D007039"", ""OMIM:278150"", ""OMIM:604379"", ""OMIM:613981"", ""OMIM:614237"", ""OMIM:614238"", ""OMIM:615059"", ""OMIM:615885"", ""OMIM:615896""], [""MESH:D058670""], [""MESH:D007027""], [""MESH:D008708""], [""MESH:D013971""], [""MESH:D013789""], [""MESH:D057885""], [""MESH:D031901""], [""MESH:D004749""], [""MESH:D013742""], [""MESH:D013921""], [""MESH:C536961"", ""OMIM:176410""], [""MESH:D009008""], [""MESH:C535371""], [""MESH:D013167"", ""OMIM:106300""], [""MESH:D017085"", ""OMIM:604131"", ""OMIM:613978""], [""MESH:C537160"", ""OMIM:605389""], [""OMIM:300337""], [""MESH:D000782""], [""MESH:D019896"", ""OMIM:613490""], [""MESH:D053627""], [""MESH:C000715748""], [""MESH:D014973""], [""MESH:D014256"", ""OMIM:613229""], [""MESH:D014355""], [""MESH:D056266"", ""OMIM:133200""], [""MESH:D054119""], [""MESH:D014120""], [""MESH:D007636""], [""MESH:C566060"", ""OMIM:187900""], [""OMIM:145420""], [""MESH:D004422""], [""MESH:D011546"", ""OMIM:145260"", ""OMIM:177735"", ""OMIM:264350"", ""OMIM:603233"", ""OMIM:612462""], [""MESH:D040181""], [""MESH:C564771""], [""MESH:C537136"", ""OMIM:258900""], [""MESH:D016399""], [""MESH:D009224"", ""OMIM:255300"", ""OMIM:255700""], [""MESH:C537425"", ""OMIM:229100""], [""MESH:D000712""], [""MESH:D014353""], [""MESH:D014123""], [""MESH:D014257""], [""MESH:D000474"", ""OMIM:203500""], [""MESH:C536150"", ""OMIM:132800""], [""MESH:C535982"", ""OMIM:604498""], [""MESH:D019871"", ""OMIM:305000""], [""MESH:D011697"", ""OMIM:274150""], [""MESH:C536901""], [""MESH:D019294"", ""OMIM:213700""], [""MESH:D053529"", ""OMIM:193900"", ""OMIM:615785""], [""MESH:D014406""], [""MESH:C566767""], [""MESH:C538172""], [""MESH:C535738""], [""MESH:D016849""], [""MESH:C536801"", ""OMIM:606232""], [""MESH:C563876"", ""OMIM:608688""], [""MESH:D015459""], [""MESH:D014125""]]",0
9288106,"[[99, 120]]",Ataxia-telangiectasia,Ataxia-telangiectasia,['MESH:D001260'],9288106.3,"99,120","[[""MESH:D001260"", ""OMIM:208900""], [""MESH:D057891""], [""MESH:D030342""], [""MESH:D007039"", ""OMIM:278150"", ""OMIM:604379"", ""OMIM:613981"", ""OMIM:614237"", ""OMIM:614238"", ""OMIM:615059"", ""OMIM:615885"", ""OMIM:615896""], [""MESH:D058670""], [""MESH:D007027""], [""MESH:D031901""], [""MESH:D009008""], [""MESH:D013971""], [""MESH:D013167"", ""OMIM:106300""], [""MESH:D000795"", ""OMIM:301500""], [""MESH:C537160"", ""OMIM:605389""], [""MESH:C536961"", ""OMIM:176410""], [""MESH:D057885""], [""OMIM:300337""], [""MESH:D013742""], [""MESH:D053627""], [""MESH:D019896"", ""OMIM:613490""], [""MESH:D014973""], [""MESH:D014355""], [""MESH:D017085"", ""OMIM:604131"", ""OMIM:613978""], [""MESH:D054119""], [""OMIM:145420""], [""MESH:C535371""], [""MESH:D014256"", ""OMIM:613229""], [""MESH:C538299""], [""MESH:D000782""], [""MESH:C000715748""], [""MESH:D016399""], [""MESH:C566060"", ""OMIM:187900""], [""MESH:C535764"", ""OMIM:614841""], [""MESH:D056266"", ""OMIM:133200""], [""MESH:C535395"", ""OMIM:256050""], [""MESH:D004422""], [""MESH:D007636""], [""MESH:D011546"", ""OMIM:145260"", ""OMIM:177735"", ""OMIM:264350"", ""OMIM:603233"", ""OMIM:612462""], [""MESH:D014120""], [""MESH:C537136"", ""OMIM:258900""], [""MESH:C564771""], [""MESH:D000075262"", ""OMIM:300200""], [""MESH:C537425"", ""OMIM:229100""], [""MESH:D040181""], [""MESH:D009224"", ""OMIM:255300"", ""OMIM:255700""], [""MESH:D024182""], [""MESH:D000474"", ""OMIM:203500""], [""MESH:D014257""], [""MESH:D019871"", ""OMIM:305000""], [""MESH:C536150"", ""OMIM:132800""], [""MESH:D019294"", ""OMIM:213700""], [""MESH:D011697"", ""OMIM:274150""], [""MESH:C536901""], [""MESH:C566865""], [""MESH:D014123""], [""MESH:C535982"", ""OMIM:604498""], [""MESH:C536987"", ""OMIM:257300"", ""OMIM:614114""], [""MESH:D053529"", ""OMIM:193900"", ""OMIM:615785""], [""MESH:D015459""], [""MESH:D014406""], [""MESH:C563876"", ""OMIM:608688""], [""MESH:C566767""], [""MESH:C538172""], [""MESH:C535738""], [""MESH:C536801"", ""OMIM:606232""], [""MESH:D014125""]]",0
9288106,"[[122, 125]]",A-T,Ataxia-telangiectasia,['MESH:D001260'],9288106.4,"122,125","[[""MESH:D001260"", ""OMIM:208900""], [""MESH:C566865""], [""MESH:D058670""], [""MESH:D057891""], [""MESH:D030342""], [""MESH:D007039"", ""OMIM:278150"", ""OMIM:604379"", ""OMIM:613981"", ""OMIM:614237"", ""OMIM:614238"", ""OMIM:615059"", ""OMIM:615885"", ""OMIM:615896""], [""MESH:D007027""], [""MESH:D013724""], [""MESH:D057885""], [""MESH:D009008""], [""MESH:D013742""], [""MESH:D013971""], [""MESH:D031901""], [""MESH:C537160"", ""OMIM:605389""], [""MESH:D000795"", ""OMIM:301500""], [""OMIM:300337""], [""MESH:C536961"", ""OMIM:176410""], [""MESH:D053627""], [""MESH:D017085"", ""OMIM:604131"", ""OMIM:613978""], [""MESH:D014355""], [""MESH:D016399""], [""MESH:D019150""], [""MESH:D014973""], [""MESH:C537260""], [""OMIM:145420""], [""MESH:D000782""], [""MESH:D013167"", ""OMIM:106300""], [""MESH:D056266"", ""OMIM:133200""], [""MESH:D000794""], [""MESH:D014120""], [""MESH:D014256"", ""OMIM:613229""], [""MESH:D011546"", ""OMIM:145260"", ""OMIM:177735"", ""OMIM:264350"", ""OMIM:603233"", ""OMIM:612462""], [""MESH:C535764"", ""OMIM:614841""], [""MESH:D018404""], [""MESH:D004422""], [""MESH:C566060"", ""OMIM:187900""], [""MESH:D009224"", ""OMIM:255300"", ""OMIM:255700""], [""MESH:D040181""], [""MESH:D014257""], [""MESH:D007636""], [""MESH:C537136"", ""OMIM:258900""], [""MESH:D054119""], [""MESH:C000715748""], [""MESH:D019294"", ""OMIM:213700""], [""MESH:D000474"", ""OMIM:203500""], [""MESH:D014123""], [""MESH:C564771""], [""MESH:D011697"", ""OMIM:274150""], [""MESH:C537425"", ""OMIM:229100""], [""MESH:C536987"", ""OMIM:257300"", ""OMIM:614114""], [""MESH:C535982"", ""OMIM:604498""], [""MESH:D014406""], [""MESH:D019871"", ""OMIM:305000""], [""MESH:C537199"", ""OMIM:608687""], [""MESH:C536901""], [""MESH:D015459""], [""MESH:C536150"", ""OMIM:132800""], [""MESH:D053529"", ""OMIM:193900"", ""OMIM:615785""], [""MESH:C535738""], [""MESH:C566767""], [""MESH:C563876"", ""OMIM:608688""], [""MESH:C538172""], [""MESH:C536801"", ""OMIM:606232""], [""MESH:D014125""]]",0
9288106,"[[132, 163]]",recessive multi-system disorder,recessive multi-system disorder,['MESH:D030342'],9288106.5,"132,163","[[""MESH:D030342""], [""MESH:D058495"", ""OMIM:117550""], [""MESH:D019578"", ""OMIM:146500""], [""MESH:D008661""], [""MESH:D007154""], [""MESH:D025063""], [""MESH:D004194""], [""MESH:D003677""], [""MESH:D007105""], [""MESH:D000382""], [""MESH:D020821"", ""OMIM:617284""], [""MESH:D006402""], [""MESH:C""], [""MESH:D000069578""], [""MESH:D007674""], [""MESH:D019964""], [""MESH:C565111"", ""OMIM:125480""], [""MESH:D009386""], [""MESH:D009140""], [""MESH:D020739""], [""MESH:C563365"", ""OMIM:601228""], [""MESH:D000820""], [""MESH:D050031"", ""OMIM:140300""], [""MESH:C565611"", ""OMIM:224230""], [""MESH:D009069""], [""MESH:D000068079""], [""MESH:D002418""], [""OMIM:161050""], [""MESH:D008664""], [""MESH:D001523""], [""OMIM:614080""], [""MESH:D019966"", ""OMIM:606581""], [""MESH:C565079"", ""OMIM:127550""], [""MESH:D019973""], [""MESH:D009260""], [""MESH:D002908""], [""MESH:D005097""], [""MESH:D000081208""], [""MESH:D008992""], [""MESH:D013568""], [""MESH:D012873""], [""OMIM:162000""], [""MESH:D013577""], [""MESH:D000068105""], [""MESH:D009224"", ""OMIM:255300"", ""OMIM:255700""], [""MESH:D004195""], [""MESH:D058069""], [""MESH:C536472""], [""MESH:D020279""], [""MESH:C567347"", ""OMIM:612336""], [""MESH:D035583""], [""MESH:D007232""], [""MESH:D020132""], [""MESH:D000015""], [""MESH:C566823""], [""MESH:D020022""], [""MESH:C566909"", ""OMIM:611597""], [""MESH:D015785""], [""MESH:D000071069""], [""MESH:D004200""], [""MESH:C535816""], [""MESH:D009358""], [""MESH:D050174""], [""MESH:D040181""]]",0
9288106,"[[235, 241]]",cancer,cancer,['MESH:D009369'],9288106.6,"235,241","[[""MESH:D009369""], [""MESH:D002277""], [""MESH:D009386""], [""MESH:D011471"", ""OMIM:176807"", ""OMIM:607592""], [""MESH:D001943"", ""OMIM:114480""], [""MESH:D006965""], [""MESH:D006338""], [""MESH:D008067""], [""MESH:D002471"", ""OMIM:614401""], [""MESH:D010190"", ""OMIM:260350"", ""OMIM:606856"", ""OMIM:613347"", ""OMIM:613348"", ""OMIM:614320""], [""MESH:D006258""], [""MESH:D005910"", ""OMIM:137800"", ""OMIM:607248"", ""OMIM:613028"", ""OMIM:613029"", ""OMIM:613030"", ""OMIM:613031"", ""OMIM:613033"", ""OMIM:616568""], [""MESH:D000236""], [""MESH:D013160""], [""MESH:D036821""], [""MESH:D014594""], [""MESH:D010386""], [""MESH:D001932""], [""MESH:D007340"", ""OMIM:606960""], [""MESH:D019046""], [""MESH:D013274"", ""OMIM:137215"", ""OMIM:613659""], [""MESH:D008223""], [""MESH:D016889"", ""OMIM:608089""], [""MESH:D016609""], [""MESH:D008113""], [""MESH:D014062""], [""MESH:D002583"", ""OMIM:603956""], [""MESH:D008175"", ""OMIM:211980"", ""OMIM:608935"", ""OMIM:612052"", ""OMIM:612571"", ""OMIM:612593"", ""OMIM:614210""], [""MESH:D000310""], [""MESH:D014565""], [""MESH:D019042""], [""MESH:D010051"", ""OMIM:167000"", ""OMIM:607893""], [""MESH:D018316""], [""MESH:D007680""], [""OMIM:604370""], [""MESH:D008207""], [""MESH:D005870""], [""MESH:D002280"", ""OMIM:605462"", ""OMIM:613058"", ""OMIM:613059"", ""OMIM:613061"", ""OMIM:613062"", ""OMIM:613063"", ""OMIM:614740""], [""MESH:D009062""], [""MESH:D009360""], [""MESH:D009362""], [""MESH:D001859""], [""MESH:D003110""], [""MESH:D054219""], [""MESH:D009385""], [""MESH:D018307""], [""MESH:D009214""], [""MESH:D018212""], [""MESH:D012004""], [""MESH:D000306""], [""MESH:D014846""], [""MESH:D009361""], [""MESH:D008048""], [""MESH:C537243"", ""OMIM:601518""], [""MESH:D018295""], [""MESH:D058405""], [""MESH:D009366""], [""MESH:D016393""], [""MESH:C538445""], [""MESH:D009382""], [""MESH:D009364""], [""MESH:D009378""], [""MESH:D018198""], [""MESH:D009370""]]",0
9288106,"[[254, 273]]",lymphoid neoplasias,lymphoid neoplasias,['MESH:D008223'],9288106.7,"254,273","[[""MESH:D008223""], [""MESH:D009369""], [""MESH:D018190""], [""MESH:D016399""], [""MESH:D007945""], [""MESH:D008206""], [""MESH:D006965""], [""MESH:D006222""], [""MESH:D001943"", ""OMIM:114480""], [""MESH:D016393""], [""MESH:D013953""], [""MESH:D019042""], [""MESH:D014388""], [""MESH:D058617""], [""MESH:C537131""], [""MESH:D001859""], [""MESH:D008637""], [""MESH:D002471"", ""OMIM:614401""], [""MESH:D008679""], [""MESH:D013945""], [""MESH:D016411""], [""MESH:D016889"", ""OMIM:608089""], [""MESH:D013160""], [""MESH:D008207""], [""MESH:D018198""], [""MESH:D005870""], [""MESH:D036821""], [""MESH:C536782""], [""MESH:D012517""], [""MESH:D009360""], [""MESH:D012515""], [""MESH:D009386""], [""MESH:D015452""], [""MESH:D009232""], [""MESH:D019046""], [""MESH:D009362""], [""MESH:D008080""], [""MESH:D018212""], [""MESH:D054747""], [""MESH:D020522""], [""MESH:D009385""], [""MESH:D009382""], [""MESH:D058405""], [""MESH:D054198"", ""OMIM:613065"", ""OMIM:613067"", ""OMIM:615545""], [""MESH:D008232"", ""OMIM:308240""], [""MESH:D020518""], [""MESH:D009217""], [""MESH:D016400""], [""MESH:D008230""], [""MESH:D008204""], [""MESH:D009366""], [""MESH:D012509""], [""MESH:D018228""], [""MESH:D054218""], [""MESH:C538255""], [""MESH:D000069293""], [""MESH:C565429"", ""OMIM:247640""], [""MESH:D008224"", ""OMIM:613024""], [""MESH:D008228"", ""OMIM:605027""], [""MESH:C538493""], [""MESH:D008203""], [""MESH:D017728""], [""MESH:D018203""], [""MESH:D016403""]]",0
9288106,"[[304, 307]]",A-T,Ataxia-telangiectasia,['MESH:D001260'],9288106.8,"304,307","[[""MESH:D001260"", ""OMIM:208900""], [""MESH:C566865""], [""MESH:D008661""], [""MESH:D057891""], [""MESH:D013746""], [""MESH:D058670""], [""MESH:D006972""], [""MESH:D007039"", ""OMIM:278150"", ""OMIM:604379"", ""OMIM:613981"", ""OMIM:614237"", ""OMIM:614238"", ""OMIM:615059"", ""OMIM:615885"", ""OMIM:615896""], [""MESH:D007027""], [""MESH:D030342""], [""MESH:C537160"", ""OMIM:605389""], [""MESH:D013971""], [""MESH:D013742""], [""MESH:D014973""], [""MESH:D009057""], [""MESH:D004749""], [""OMIM:300337""], [""MESH:D014355""], [""MESH:C537260""], [""MESH:D009008""], [""MESH:D019150""], [""MESH:D013789""], [""MESH:D007029""], [""MESH:C565627"", ""OMIM:222470"", ""OMIM:614602""], [""MESH:D017085"", ""OMIM:604131"", ""OMIM:613978""], [""MESH:C536961"", ""OMIM:176410""], [""MESH:C537180"", ""OMIM:128200""], [""MESH:C538195""], [""MESH:D014256"", ""OMIM:613229""], [""OMIM:145420""], [""MESH:D054119""], [""MESH:D000072676"", ""OMIM:106280""], [""MESH:D013167"", ""OMIM:106300""], [""MESH:C537136"", ""OMIM:258900""], [""MESH:C000715748""], [""MESH:D053627""], [""MESH:D000794""], [""MESH:C535764"", ""OMIM:614841""], [""MESH:D011546"", ""OMIM:145260"", ""OMIM:177735"", ""OMIM:264350"", ""OMIM:603233"", ""OMIM:612462""], [""MESH:C566060"", ""OMIM:187900""], [""MESH:D004422""], [""MESH:D014257""], [""MESH:D056266"", ""OMIM:133200""], [""MESH:D009224"", ""OMIM:255300"", ""OMIM:255700""], [""MESH:D040181""], [""MESH:D007636""], [""MESH:D000474"", ""OMIM:203500""], [""MESH:D007971""], [""MESH:D014123""], [""MESH:C535982"", ""OMIM:604498""], [""MESH:C564771""], [""MESH:D014406""], [""MESH:D019871"", ""OMIM:305000""], [""MESH:D016399""], [""MESH:D011697"", ""OMIM:274150""], [""MESH:C536901""], [""MESH:D019294"", ""OMIM:213700""], [""MESH:D053529"", ""OMIM:193900"", ""OMIM:615785""], [""MESH:C566767""], [""MESH:D015459""], [""MESH:C537181"", ""OMIM:118800""], [""MESH:C538172""], [""MESH:C535738""], [""MESH:D014125""]]",0
9288106,"[[389, 395]]",tumour,tumour,['MESH:D009369'],9288106.9,"389,395","[[""MESH:D009369""], [""MESH:D018365""], [""MESH:D009386""], [""MESH:D001943"", ""OMIM:114480""], [""MESH:D016399""], [""MESH:D009396"", ""OMIM:194070""], [""MESH:D011471"", ""OMIM:176807"", ""OMIM:607592""], [""MESH:D006338""], [""MESH:D006965""], [""MESH:D001932""], [""MESH:D008223""], [""MESH:D013274"", ""OMIM:137215"", ""OMIM:613659""], [""MESH:D014594""], [""MESH:D006258""], [""MESH:D013953""], [""MESH:D013736""], [""MESH:D010911""], [""MESH:D009214""], [""MESH:D008175"", ""OMIM:211980"", ""OMIM:608935"", ""OMIM:612052"", ""OMIM:612571"", ""OMIM:612593"", ""OMIM:614210""], [""MESH:D007573""], [""MESH:D009062""], [""MESH:D002471"", ""OMIM:614401""], [""MESH:D019042""], [""MESH:D006222""], [""MESH:D009378""], [""MESH:D009385""], [""MESH:D007680""], [""MESH:D013160""], [""MESH:D013964""], [""MESH:D010051"", ""OMIM:167000"", ""OMIM:607893""], [""MESH:D014067""], [""MESH:D001859""], [""MESH:D018307""], [""MESH:D009382""], [""MESH:D008048""], [""MESH:D005706""], [""MESH:D010386""], [""MESH:D014565""], [""MESH:D016889"", ""OMIM:608089""], [""MESH:D001749"", ""OMIM:109800""], [""MESH:D009360""], [""MESH:D014062""], [""MESH:D018213""], [""MESH:D019043""], [""MESH:D012004""], [""MESH:D005870""], [""MESH:D009364""], [""MESH:D019046""], [""MESH:D000310""], [""MESH:D018295""], [""MESH:D036821""], [""MESH:D009362""], [""MESH:D008207""], [""MESH:D002295""], [""MESH:D002583"", ""OMIM:603956""], [""MESH:D009370""], [""MESH:D009383""], [""MESH:D018212""], [""MESH:D009361""], [""MESH:D012983""], [""MESH:D009366""], [""MESH:D018198""], [""MESH:D012207""], [""MESH:C538445""]]",0
9288106,"[[419, 459]]",sporadic T-cell prolymphocytic leukaemia,sporadic T-cell prolymphocytic leukaemia,['MESH:D015461'],9288106.10,"419,459","[[""MESH:D015461""], [""MESH:D016399""], [""OMIM:202370""], [""MESH:D015458""], [""OMIM:614871""], [""OMIM:614863""], [""MESH:C536780""], [""OMIM:617370""], [""OMIM:614879""], [""MESH:D020138""], [""OMIM:614886""], [""OMIM:614882""], [""OMIM:614862""], [""OMIM:614870""], [""MESH:D015614""], [""MESH:C535396"", ""OMIM:108720""], [""MESH:D011528""], [""MESH:D007015""], [""MESH:D019851"", ""OMIM:188050""], [""MESH:D006457"", ""OMIM:300818"", ""OMIM:615399""], [""MESH:C579928""], [""MESH:D015463""], [""MESH:D007964""], [""MESH:C566870"", ""OMIM:211900""], [""MESH:D007645"", ""OMIM:248300""], [""MESH:D051642""], [""MESH:D016410""], [""MESH:D053706""], [""MESH:C563971"", ""OMIM:614337""], [""MESH:C531777""], [""MESH:D058527""], [""MESH:D054403""], [""MESH:C563365"", ""OMIM:601228""], [""MESH:D010265""], [""MESH:D014973""], [""MESH:C563972""], [""MESH:D011696""], [""MESH:D008228"", ""OMIM:605027""], [""OMIM:191181""], [""MESH:D015620""], [""MESH:D058968""], [""MESH:D000085142""], [""MESH:C537181"", ""OMIM:118800""], [""MESH:C563336"", ""OMIM:601363""], [""MESH:D007971""], [""MESH:D016553"", ""OMIM:188030""], [""MESH:C566039"", ""OMIM:614331""], [""MESH:D017731""], [""MESH:D016411""], [""MESH:C563691"", ""OMIM:609889""], [""MESH:D013922"", ""OMIM:187950"", ""OMIM:601977"", ""OMIM:614521""], [""MESH:D011697"", ""OMIM:274150""], [""MESH:D003123""], [""MESH:D054747""], [""MESH:D015452""], [""MESH:C567737"", ""OMIM:613116""], [""MESH:C536328"", ""OMIM:600273""], [""MESH:D007926"", ""OMIM:300322""], [""MESH:D018344"", ""OMIM:615518""], [""MESH:D017728""], [""MESH:D016400""], [""MESH:D015459""], [""MESH:D054391""], [""MESH:D054218""]]",0
9288106,"[[461, 466]]",T-PLL,T-cell prolymphocytic leukaemia,['MESH:D015461'],9288106.11,"461,466","[[""MESH:D015461""], [""MESH:D016399""], [""MESH:D015458""], [""OMIM:202370""], [""OMIM:614871""], [""OMIM:614863""], [""MESH:C536780""], [""MESH:D057891""], [""MESH:D015463""], [""MESH:D009396"", ""OMIM:194070""], [""MESH:C563301""], [""OMIM:614886""], [""MESH:D020138""], [""OMIM:614870""], [""MESH:C536783""], [""MESH:D011528""], [""MESH:D006457"", ""OMIM:300818"", ""OMIM:615399""], [""MESH:D007015""], [""MESH:D031901""], [""MESH:D019851"", ""OMIM:188050""], [""MESH:D007645"", ""OMIM:248300""], [""OMIM:143470""], [""MESH:C566870"", ""OMIM:211900""], [""MESH:D010265""], [""MESH:D015459""], [""MESH:D058527""], [""MESH:C531777""], [""OMIM:604093""], [""MESH:C536604"", ""OMIM:217080""], [""MESH:D058968""], [""MESH:D051642""], [""MESH:D053706""], [""MESH:D007863"", ""OMIM:136120"", ""OMIM:245900""], [""MESH:D008228"", ""OMIM:605027""], [""MESH:C536853"", ""OMIM:194071""], [""OMIM:616806""], [""MESH:C565991"", ""OMIM:194090""], [""MESH:C537181"", ""OMIM:118800""], [""MESH:D054403""], [""MESH:C566080""], [""MESH:D011696""], [""MESH:D013922"", ""OMIM:187950"", ""OMIM:601977"", ""OMIM:614521""], [""MESH:D016411""], [""MESH:D016553"", ""OMIM:188030""], [""OMIM:612348""], [""MESH:C566666""], [""MESH:C536161"", ""OMIM:148600""], [""MESH:D015620""], [""OMIM:191181""], [""MESH:D007971""], [""MESH:C536163"", ""OMIM:607654""], [""MESH:C563336"", ""OMIM:601363""], [""OMIM:616452""], [""MESH:D007926"", ""OMIM:300322""], [""MESH:D011697"", ""OMIM:274150""], [""MESH:C567737"", ""OMIM:613116""], [""MESH:C563691"", ""OMIM:609889""], [""MESH:D015452""], [""MESH:C536328"", ""OMIM:600273""], [""MESH:D016400""], [""MESH:D018344"", ""OMIM:615518""], [""MESH:C536782""], [""MESH:D054391""], [""MESH:D054218""]]",0
